"massdifference-rfile"
"Iteration" "massdifference"
("Iteration" "massdifference")
1 10.80634121058829
2 8.605404160050945
3 2.882270155674009
4 -0.6197660972816766
5 -3.180493179977223
6 -3.85026076814694
7 -4.492124906196769
8 -2.5180353585576
9 -1.934813818367283
10 -2.901496453692016
11 -3.186091228882642
12 1.344673293744098
13 17.76017989828971
14 15.41216470537501
15 9.432271107285757
16 2.826438587250259
17 2.720096368418597
18 -0.7539971278495712
19 -1.24331430870894
20 -3.671028652519495
21 -2.311311880581459
22 -4.468853328811274
23 -1.302632685030481
24 -3.046895023232255
25 -1.081628589803923
26 -3.221408056912846
27 -0.5877605523371433
28 -2.234797180894578
29 -1.819809442617699
30 -2.927872151345599
31 -1.712959264944567
32 -1.934069791036021
33 -1.640943113452663
34 -1.279739510766465
35 -0.7262494000507618
36 -0.3012389165189758
37 0.2403061548937433
38 0.3833561046481692
39 0.5176163818624481
40 0.6040841553286216
41 0.5856113756583753
42 0.5098816543169051
43 0.4006216973314157
44 0.2802108987605652
45 0.159489126802828
46 0.05596764728071689
47 -0.02645432638716305
48 -0.08502979418098501
49 -0.1228266207956088
50 -0.1430196902717032
51 -0.1518600180863243
52 -0.1499949893288321
53 -0.1449532616745736
54 -0.1313731895236091
55 -0.1178237336494478
56 -0.1079672276826779
57 -0.0969610608622328
58 -0.09296090355300046
59 -0.08597986385900262
60 -0.08228956626638985
61 -0.06756806917968777
62 -0.07627773424824386
63 -0.07154890713058679
64 -0.06494673816797594
65 -0.05544398903133548
66 -0.06737834923602415
67 -0.06840765235152803
68 -0.07105322943738188
69 -0.08537920871486379
70 -0.07224918423485562
71 -0.07934846582816819
72 -0.07853275568199643
73 -0.07549547121239863
74 -0.04090850726578209
75 -0.0565041867864285
76 -0.0714284088552043
77 -0.08042282519717756
78 -0.08475251572381728
79 -0.08555436349522862
80 -0.08494627101472076
81 -0.08402991960013273
82 -0.08251959114365107
83 -0.08077539098808428
84 -0.07923360105741337
85 -0.07742564767097486
86 -0.07553787395756981
87 -0.07363934711420962
88 -0.07167585827783333
89 -0.06976277031746833
90 -0.06814036678806161
91 -0.06679736201713737
