"mwa-static-temperature-rfile"
"Iteration" "mwa-static-temperature"
("Iteration" "mwa-static-temperature(inlet)" "mwa-static-temperature(outlet)")
1 1122.39888403707 1122.132438267626
2 1122.558784440586 1123.498396063813
3 1122.575071740752 1124.900099596718
4 1122.586645868348 1126.752863988686
5 1122.596366651459 1129.00799258741
6 1122.607363519862 1131.750152669616
7 1122.619406759698 1134.906571570936
8 1122.637406026064 1138.212928082263
9 1122.656466621946 1141.928736913086
10 1122.669646759099 1146.099503008094
11 1122.674614586406 1150.319677871924
12 1122.673030349113 1159.705423859172
13 1122.659062291713 1128.480838009362
14 1122.637315020113 1162.178894491953
15 1122.608385928837 1188.039541405871
16 1122.573746546851 1250.676385259693
17 1122.535431048591 1174.921263312784
18 1122.498253407773 1250.538980077987
19 1122.462821147738 1174.438123105514
20 1122.432178193403 1243.161318272324
21 1122.406368563417 1192.546543900861
22 1122.38697953529 1264.501137803691
23 1122.373587478089 1187.081709188069
24 1122.366116543111 1246.84071614651
25 1122.363448882062 1215.81837578289
26 1122.365540686942 1290.509865021764
27 1122.370872676657 1195.568565422289
28 1122.378961717773 1238.63318839709
29 1122.389373498458 1226.132697908614
30 1122.401860221758 1271.737111445362
31 1122.416199487494 1206.291798541914
32 1122.431953152758 1229.179619454982
33 1122.448889902739 1207.314216883826
34 1122.466557318103 1201.982634316109
35 1122.484444503141 1172.1723684781
36 1122.502054610155 1155.427296619526
37 1122.518863538114 1128.771349567326
38 1122.53485898123 1107.768372505282
39 1122.549824551636 1087.51698563628
40 1122.563633383142 1070.465960270323
41 1122.576320305498 1056.254298861358
42 1122.587918246931 1044.799852685756
43 1122.598551415466 1035.800819683269
44 1122.608362482365 1029.016957949852
45 1122.61751639498 1024.152616999451
46 1122.626108400539 1020.823633304645
47 1122.634241201733 1018.651893770207
48 1122.642021756793 1017.322631801047
49 1122.649520545391 1016.594584207545
50 1122.656785991584 1016.270686006743
51 1122.663836324863 1016.204096455494
52 1122.670673865138 1016.282080880442
53 1122.677330115994 1016.432972912866
54 1122.683787684753 1016.602460976905
55 1122.690075193258 1016.774129703177
56 1122.696183191758 1016.941348517355
57 1122.702109345076 1017.086062992861
58 1122.707845191055 1017.212331376037
59 1122.713395490041 1017.319052651892
60 1122.718773189461 1017.380063921072
61 1122.723979978062 1017.433815453385
62 1122.729003406944 1017.47199666497
63 1122.733857923348 1017.507845157249
64 1122.738548823598 1017.525354844882
65 1122.743095661452 1017.534002609798
66 1122.747475773214 1017.541406675811
67 1122.751713618704 1017.551050968987
68 1122.755800855789 1017.563246379356
69 1122.759751858439 1017.576047233413
70 1122.763575600471 1017.589514564339
71 1122.767285115205 1017.603894562482
72 1122.770875838271 1017.618901088368
73 1122.774337071021 1017.634993695139
74 1122.775206399867 1017.661757870991
75 1122.775716876602 1017.660621124307
76 1122.776136309697 1017.660130314956
77 1122.776546486551 1017.660271084816
78 1122.776954843603 1017.660921348801
79 1122.777349933801 1017.661914044421
80 1122.777722136409 1017.663131961843
81 1122.778064765766 1017.664443804265
82 1122.778376796166 1017.66594034893
83 1122.77866013173 1017.667547977837
84 1122.778918133377 1017.669190093127
85 1122.779154631344 1017.670983638978
86 1122.779373822535 1017.672799039486
87 1122.77957937319 1017.674755762842
88 1122.779773546312 1017.676724891883
89 1122.779958838528 1017.678827339266
90 1122.780137098961 1017.680935168457
91 1122.780309302541 1017.683111766377
