"mwa-static-temperature-rfile"
"Iteration" "mwa-static-temperature"
("Iteration" "mwa-static-temperature(inlet)" "mwa-static-temperature(outlet)")
1 1123.1276 1123.1276
2 1123.1276 1119.954815317712
3 1123.1276 1120.564846738157
4 1123.1276 1120.641918317338
5 1123.1276 1121.051330298841
6 1123.1276 1121.422210802054
7 1123.1276 1121.764518811393
8 1123.1276 1122.006310948635
9 1123.1276 1122.2752915554
10 1123.1276 1122.5538957958
11 1123.1276 1122.850248994355
