"mwa-static-temperature-rfile"
"Iteration" "mwa-static-temperature"
("Iteration" "mwa-static-temperature(inlet)" "mwa-static-temperature(outlet)")
1 1122.390566308064 1122.119968587172
2 1122.557271621684 1123.485695079208
3 1122.576020862132 1124.880807401916
4 1122.594771726133 1126.670351363947
5 1122.614668065697 1129.101377548842
6 1122.633013444746 1131.826280485737
7 1122.649910281639 1135.06253633176
8 1122.665146593416 1138.564616978479
9 1122.678312635094 1142.30270081474
10 1122.691879703741 1146.170711388019
11 1122.705304021241 1150.691435751855
12 1122.717964998336 1156.122200549778
13 1122.730006667363 1163.163629160353
14 1122.741593043799 1172.904689967223
15 1122.752755858306 1186.905687610315
16 1122.763437255565 1207.143216679492
17 1122.773607161115 1235.777205748439
18 1122.783128683344 1274.708228296111
19 1122.791887678492 1324.808696297832
20 1122.799840949678 1385.154040953303
21 1122.806987800654 1452.468608023206
22 1122.813335199987 1521.271515510914
23 1122.818909859062 1585.042501513525
24 1122.823723636502 1637.855229440146
25 1122.827783231403 1675.808872462482
26 1122.831107821788 1697.635222422226
27 1122.833749665337 1704.327615839284
28 1122.835802468709 1698.239280004531
29 1122.837377289248 1682.258486058348
30 1122.838596078284 1659.176930493962
31 1122.839562965582 1631.411296188317
32 1122.840373986515 1600.891691310283
33 1122.841118536656 1569.087723589365
34 1122.841859102789 1537.082682874386
35 1122.842643870688 1505.662342738621
36 1122.84350511292 1475.364030888106
37 1122.844460131118 1446.549513366878
38 1122.845515405223 1419.457933539616
39 1122.846669983582 1394.24252070407
40 1122.847915370467 1370.995738134665
41 1122.849237410717 1349.761552996569
42 1122.850621990238 1330.544905969006
43 1122.852056194492 1313.318179504366
44 1122.853527468798 1298.025989723753
45 1122.855022945904 1284.588922696424
46 1122.856532188792 1272.906984291529
47 1122.858045475438 1262.862275347375
48 1122.859490961088 1254.320797205342
49 1122.860889484381 1247.20052409985
50 1122.862333126754 1241.307505832348
51 1122.863795430283 1236.460906470071
52 1122.865241461863 1232.554771807333
53 1122.866657899234 1229.459832812793
54 1122.86803789531 1227.051350931803
55 1122.869377524902 1225.215376065933
56 1122.870674710015 1223.849824637423
57 1122.871928644922 1222.86501211268
58 1122.873139542044 1222.183643604713
59 1122.874307997465 1221.740459545129
60 1122.875435231533 1221.481321224313
61 1122.876522511047 1221.362099296826
62 1122.87757113264 1221.347642960932
63 1122.878582272074 1221.410186787473
64 1122.879557307945 1221.528212645317
65 1122.880497061708 1221.685304658294
66 1122.881402490838 1221.869115405792
67 1122.882274710189 1222.070481930297
68 1122.883115131084 1222.282698669054
69 1122.883925115926 1222.500914526377
70 1122.884705720031 1222.721690000174
71 1122.885457687218 1222.942601650974
72 1122.886181791594 1223.161962825838
73 1122.886879770685 1223.378619621144
74 1122.887552327009 1223.591800367912
75 1122.888200060983 1223.800993039549
76 1122.888823603522 1224.005857867086
77 1122.889424545023 1224.206176332793
78 1122.890003752269 1224.40181429916
79 1122.890561763186 1224.592701164607
80 1122.89109924965 1224.778806920143
81 1122.89161725584 1224.960132286803
82 1122.89211684156 1225.136691396905
83 1122.892598434707 1225.308513397202
84 1122.89306246112 1225.475637454714
85 1122.893509655729 1225.638109750246
86 1122.89394101617 1225.795975907528
87 1122.894357003283 1225.949283177577
88 1122.894757954556 1226.098096474252
89 1122.89514452627 1226.242490184797
90 1122.895517384325 1226.38253995402
91 1122.895877406991 1226.518306620755
92 1122.896225037607 1226.649905324309
93 1122.896560412743 1226.777417209232
94 1122.896883710731 1226.900928832068
95 1122.897195205562 1227.020528508476
96 1122.89749522355 1227.136307412858
97 1122.897784116736 1227.248359958593
98 1122.89806225029 1227.35678275653
99 1122.898329998803 1227.461673704289
100 1122.898587742695 1227.563130853016
101 1122.898835866714 1227.661250948907
102 1122.899074737359 1227.75612896157
103 1122.899304706573 1227.847857620915
104 1122.89952612287 1227.936527308322
105 1122.899739321778 1228.02222615141
106 1122.899944622347 1228.105040268179
107 1122.900142328118 1228.185054058424
108 1122.900332729045 1228.262349869098
109 1122.900516107055 1228.337009969377
110 1122.900692736209 1228.409115139924
111 1122.900862874747 1228.478744884746
112 1122.901026765662 1228.545977345026
113 1122.901184639868 1228.610889197838
114 1122.901336718945 1228.673555503545
115 1122.901483219693 1228.73404942844
116 1122.90162435075 1228.792442172076
117 1122.901760311389 1228.848802975501
118 1122.901891292791 1228.903198864733
119 1122.90201748048 1228.955694738764
120 1122.902139052819 1229.006353383489
121 1122.90225618089 1229.055235629829
122 1122.902369027771 1229.102400403036
123 1122.902477749933 1229.147904633959
124 1122.902582497886 1229.191804152384
125 1122.902683416558 1229.234153097991
126 1122.902780645533 1229.275004126059
127 1122.902874319205 1229.314408331717
128 1122.902964568446 1229.35241537341
129 1122.90305151342 1229.389073374373
130 1122.903135273689 1229.424428978082
131 1122.903215966234 1229.458527478997
132 1122.903293703789 1229.49141268667
133 1122.903368594718 1229.523126930166
134 1122.903440743214 1229.553710994406
135 1122.903510249526 1229.583204295227
136 1122.903577210168 1229.611644875843
137 1122.903641717331 1229.639069411036
138 1122.903703859368 1229.665513259429
139 1122.903763721914 1229.691010499788
140 1122.903821388938 1229.715593993023
141 1122.903876941956 1229.739295453823
142 1122.903930458862 1229.762145518312
143 1122.903982014408 1229.784173837068
144 1122.904031680386 1229.805409043264
