CaseID,sample_kind,iso_final_design_kind,iso_pfr_hit_target,iso_fallback_probe_status,iso_native_truncation_reason,iso_native_truncated_before_L,iso_T_K,iso_target_conversion,iso_manifest_target_tau_s
33,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,974.399947137572,0.8569545540586114,1.7101273367288896e-05
34,trajectory,isothermal_pfr_hit_target,True,,,False,1303.3593574725091,0.1811433770414442,0.0015178795651332
35,trajectory,isothermal_pfr_missed_target,False,,,False,833.529552994296,0.7639186769584194,0.0001947314431262
35,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,833.529552994296,0.7639186769584194,0.0001947314431262
36,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1377.655900400132,0.0805237755691632,0.0071375012305527
37,trajectory,isothermal_pfr_missed_target,False,,,False,1312.95788760297,0.0745466513559222,8.654334020943612e-05
37,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1312.95788760297,0.0745466513559222,8.654334020943612e-05
38,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,964.2855747370048,0.9874463771190496,1.3439670775199914e-05
39,trajectory,isothermal_pfr_missed_target,False,,,False,895.9938131133094,0.7589661785075441,3.490057297038079e-05
39,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,895.9938131133094,0.7589661785075441,3.490057297038079e-05
40,trajectory,isothermal_pfr_missed_target,False,,,False,943.6236464697868,0.6854863982275129,1.0400626819688018e-05
40,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,943.6236464697868,0.6854863982275129,1.0400626819688018e-05
41,trajectory,isothermal_pfr_missed_target,False,,,False,818.9514651149511,0.9182548962300644,8.072431818465031e-05
41,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,818.9514651149511,0.9182548962300644,8.072431818465031e-05
42,trajectory,isothermal_pfr_missed_target,False,,,False,859.1595746623352,0.9922300864616408,9.13440426612142e-05
42,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,859.1595746623352,0.9922300864616408,9.13440426612142e-05
43,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1428.0811421340331,0.8025016910489648,0.0003705781707051
44,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1483.1043847696856,0.6418058362230659,0.0003653234180196
46,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1469.7339825797826,0.3760941926250234,0.0050939185639679
47,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1540.1935929059982,0.5701212957408279,1.3227974667342338e-05
50,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1406.075294218026,0.4392982365423813,4.103619843602624e-05
51,trajectory,isothermal_pfr_missed_target,False,,,False,1530.6603143410755,0.3615197950880975,0.0158002980773815
51,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1530.6603143410755,0.3615197950880975,0.0158002980773815
52,trajectory,isothermal_pfr_missed_target,False,,,False,1430.5690774088723,0.1941225322335958,0.0025863661743148
52,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1430.5690774088723,0.1941225322335958,0.0025863661743148
53,trajectory,isothermal_pfr_missed_target,False,,,False,1410.1980012701824,0.6051026531448589,1.874189078359782e-05
53,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1410.1980012701824,0.6051026531448589,1.874189078359782e-05
54,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1417.220728173852,0.3843905470753089,0.0001206847790636
56,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1546.3188177207485,0.83765782894101,0.0015435430261384
58,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1511.8767146300524,0.6280984927993268,0.035579756165561
59,trajectory,isothermal_pfr_missed_target,False,,,False,1475.210362803191,0.1728300887579098,7.703777061274948e-05
59,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1475.210362803191,0.1728300887579098,7.703777061274948e-05
60,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1586.019105641171,0.1827775637200102,1.6876829743711503e-05
62,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1422.670682729222,0.795673631830141,0.0189112974669956
63,trajectory,isothermal_pfr_missed_target,False,,,False,1437.4544834671542,0.4566497399890795,0.0008288530178845
63,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1437.4544834671542,0.4566497399890795,0.0008288530178845
64,trajectory,isothermal_pfr_missed_target,False,,,False,1587.1147216390818,0.8371940798219294,9.301772311323802e-05
64,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1587.1147216390818,0.8371940798219294,9.301772311323802e-05
65,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1422.2856043092906,0.5594170893589036,0.0067386435264911
66,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0420,True,1554.0787812927738,0.5800950143998489,0.5956620499618578
67,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1485.6559127895162,0.2748210876062512,0.0026100095327007
68,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1525.5295232543722,0.0808682528045028,0.0002824055693272
69,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1462.2384491143748,0.5643467501411215,0.073641939988186
70,trajectory,isothermal_pfr_missed_target,False,,,False,1416.3999349158255,0.0962259676074609,0.0036020829821602
70,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1416.3999349158255,0.0962259676074609,0.0036020829821602
71,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1496.7026092670858,0.4072075393423438,2.4657045349811195e-05
72,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,True,1542.9148529982194,0.225995108471252,0.0834724108783908
73,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1566.8371076183394,0.720725237345323,0.0001075356130379
74,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1459.8790104687214,0.7411800882592797,0.0012118440706677
76,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0025,True,1580.9780169278383,0.2421534832427278,0.0763411134086357
77,trajectory,isothermal_pfr_missed_target,False,,,False,1506.438314737752,0.4031281243171543,0.0003540051443927
77,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1506.438314737752,0.4031281243171543,0.0003540051443927
78,trajectory,isothermal_pfr_missed_target,False,,,False,1521.8483334546909,0.9348817713186144,2.2801896878637612e-05
78,state_probe,anchored_state_probe_after_pfr_miss,False,used_after_pfr_miss,,False,1521.8483334546909,0.9348817713186144,2.2801896878637612e-05
79,trajectory,isothermal_pfr_missed_target,False,no_suitable_anchor_available,,False,1440.902382438071,0.5183532950794324,0.0015608305175474
80,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,T exceeded cap 1600.0 K,True,1439.830315564759,0.734664735221304,0.0001980540625748
81,state_probe,anchored_state_probe_after_native_pfr_failure,False,used_after_native_pfr_failure,truncated at z=0.0000 < L=0.0000,True,1469.4160218304023,0.3174387397151441,0.4271457038251934
