metric,n,n_columns,columns_used,p05,p50,p90,p95,p99,max,frac_farther_than_full_p95,frac_farther_than_full_p99
full_to_nearest_full_reference,80000,8,T [K];P [bar];Y_C2H6;Y_C2H4;Y_C2H2;Y_C3H6;Y_C3H8;Heat absorption [MW/m3],0.0015109325410840556,0.015043621203795942,0.04067501749874479,0.05791497152898366,0.1120787713150619,0.4789133960627619,,
off_to_nearest_full,80000,8,T [K];P [bar];Y_C2H6;Y_C2H4;Y_C2H2;Y_C3H6;Y_C3H8;Heat absorption [MW/m3],0.018538514072505122,0.05706844662443628,0.22198765632203396,0.4139973864796443,0.7788550977183314,2.435191804959265,0.4910125,0.1859875
