dataset,n_rows,n_cases,Y_C2H6_nan_frac,Y_C2H6_neg_frac,Y_C2H6_gt1_frac,Y_C2H4_nan_frac,Y_C2H4_neg_frac,Y_C2H4_gt1_frac,Y_C2H2_nan_frac,Y_C2H2_neg_frac,Y_C2H2_gt1_frac,Y_C3H6_nan_frac,Y_C3H6_neg_frac,Y_C3H6_gt1_frac,Y_C3H8_nan_frac,Y_C3H8_neg_frac,Y_C3H8_gt1_frac,Y_H2O_nan_frac,Y_H2O_neg_frac,Y_H2O_gt1_frac,T [K]_min,T [K]_p50,T [K]_p99,T [K]_max,P [bar]_min,P [bar]_p50,P [bar]_p99,P [bar]_max,Heat absorption [MW/m3]_min,Heat absorption [MW/m3]_p50,Heat absorption [MW/m3]_p99,Heat absorption [MW/m3]_max,sum_selected_Y [-]_min,sum_selected_Y [-]_p50,sum_selected_Y [-]_p99,sum_selected_Y [-]_max
full,250000,20127,0.0,0.0,0.0,0.0,0.000168,0.0,0.0,0.000192,0.0,0.0,0.000116,0.0,0.0,0.000204,0.0,0.0,0.0,0.0,823.2502062112093,1040.7813312216167,1209.5518125647159,1422.4326146943276,1.5001656059175728,2.4999999999999996,3.477509969845413,3.499869188293816,-4.879579717898135,3.1617994887505017,389.18240395019046,14077.493271827805,0.25450407570182876,0.9981220404053681,1.0,1.000000006732266
offmanifold,250000,20001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.3204541641486,1040.8091682413892,1215.6274882110868,1423.15,1.4259483856859423,2.4830640912719506,3.5484389421747364,3.6724959201734158,-2636.5146343063357,2.5293803683469944,445.90478315921416,12077.273611276769,0.21815323606353906,0.9981122005725532,1.0,1.0000000000000002
