PC1,PC2,dataset
3.6227531240554547,0.04937566923728089,full
-0.390863072492624,-1.103134165690895,full
-0.6972145058609963,1.270122925978971,full
2.104928208666002,3.591139437726263,full
2.0771163504069636,0.4373965730009887,full
-1.2476729219114107,0.09334274242465423,full
-1.2969365405681652,0.3567279511884941,full
-0.9765346887845393,0.6607882319384761,full
-1.3781030167753014,0.31876327457554643,full
-1.2174040235327874,0.08755507692235484,full
-1.1721540481233401,-0.24156121423181512,full
-0.5133417994859756,0.20000594865716675,full
-0.19842510799698868,1.1783065346976,full
-0.4398412883600248,1.709132975238915,full
-1.1179086550395028,0.16350515057855683,full
11.114383727013507,-2.9734631692153384,full
-0.9381677682334039,0.12259484012428618,full
0.630575144437977,-0.4365564015140237,full
-0.3367017446162617,0.005639270581191838,full
-0.7838665996631431,0.19092970843848264,full
10.285848566584518,-0.20658002431606845,full
-0.6066255628225482,0.48781580359674326,full
-0.19635516893467608,-0.5349858934716809,full
-0.7032608063696281,0.8485476416629429,full
8.33896345069541,0.5955028084675484,full
1.790737816402397,-0.6410652651516239,full
-0.7530221355651913,-0.8756819367320301,full
6.706631337454576,0.05625425019162858,full
-0.7682734520224038,0.10635659454433184,full
0.41172995269782614,2.7834467409567276,full
-0.9003846436214722,0.17446978455529505,full
-1.1342321075559485,0.29623624281331185,full
-1.1485959597867723,0.26419342671658846,full
-1.2699447959650427,0.17354349500150149,full
1.0727067053549122,-0.2272177653569271,full
9.872002818793593,3.15171405352793,full
-1.3763204734481693,0.01969539164387538,full
-1.043992792342937,0.6313683750965201,full
-0.16455249354287607,3.1242514994064865,full
-0.4904374334311331,0.7507489975826519,full
-0.7779988343433134,-0.5742915378378032,full
-1.4760204337547072,-0.7579941530177831,full
2.0239247043042483,0.5920988676488197,full
-1.0293033152545805,0.786090599295325,full
-0.6362871038307012,1.378959664007266,full
-1.0445054988614666,0.2772099587432007,full
-0.7842319891859899,0.025048361995785088,full
-0.5395764222007164,0.09646713304164105,full
-1.3261166017855825,-0.5326265245011094,full
-1.6903116469116788,-0.9481458985217975,full
-0.4427678167189368,0.05931775385530738,full
3.4713105336662204,-0.23740773382573788,full
0.5114471303867492,-0.631127316669804,full
-1.8124561571134288,-0.3803819994269332,full
-0.6178414440566377,0.48490160788329306,full
1.9056343491716226,0.6479747191871805,full
-0.9958121064793144,-0.12602701788751644,full
6.642532662172221,-0.9806208374042785,full
0.49839483073215446,-1.0347244718410713,full
-1.5621448638360893,-0.7148544006647343,full
-1.3815355578282345,0.3042124497543717,full
0.8644949019017709,0.6954389989995383,full
-0.8462538184599436,0.6838048691361456,full
1.0825689036453827,1.0443081732659836,full
-0.9100831823393168,-0.8966461401535424,full
-1.0544386557517698,0.25460765000515034,full
-1.4144981859934913,-1.3842165681042609,full
-0.7647901570183555,0.6965121467800386,full
-0.35109918567855286,0.5284760768784573,full
3.3365622739799043,-0.911727183273071,full
-1.0588937060977968,-0.7295464517112398,full
0.6199568306670431,-1.3049047885040288,full
-1.4273298215739578,-0.6866512045734333,full
1.7257376473990491,0.7589143624812604,full
1.4001296248367177,-0.4842258695669071,full
-0.903295668447359,1.1191435571139918,full
1.4578262336689185,1.5875997641269792,full
-1.82127026385154,-1.5262294859182282,full
13.011419350729918,-0.6456510924499763,full
-1.1046804886858717,0.3742617210246072,full
-0.4140519867725381,-1.3905385117280413,full
-1.3267161442960231,0.18753021593313748,full
-1.2877057501570104,-0.025662270854831498,full
-1.3931793184244452,-0.8635364606665968,full
-1.2694491374998513,-0.5515324744121831,full
-1.0516449617388106,-0.1741284819499025,full
0.6612603732270377,0.8289035615312675,full
-0.06325242255381805,1.5223359048675027,full
2.7538154064429468,0.22168160306765516,full
-0.610762131496915,-0.31548650950166085,full
-1.525170462707821,0.04238057464523184,full
